label	TSNE_1	TSNE_2
CENTRAL_NERVOUS_SYSTEM	-31.030214	-17.918743
CENTRAL_NERVOUS_SYSTEM	27.369633	-4.903772
CENTRAL_NERVOUS_SYSTEM	-5.0377126	-17.015213
CENTRAL_NERVOUS_SYSTEM	-26.36268	-22.493687
CENTRAL_NERVOUS_SYSTEM	-33.554142	-22.884914
STOMACH 	-2.2879062	-13.499505
SKIN	-37.123547	-86.06164
LUNG	25.29008	-51.35896
HALT	1.9874218	99.89276
BREAST	53.24941	10.991896
LARGE_INTESTINE	72.98838	-37.347492
LUNG	10.326794	-5.220281
HALT	-1.1873876	102.50748
SKIN	-30.24846	-80.62174
SKIN	-41.101826	-66.42747
SKIN	-34.74543	-80.99206
SKIN	-35.650433	-86.04838
SKIN	-41.31631	-67.673035
SKIN	-30.52287	-84.48912
SKIN	-34.944923	-85.29878
LUNG	12.238281	-24.13887
HALT	-24.844662	51.85204
HALT	-2.0530062	93.21704
OVARY	-7.2085385	6.13057
KIDNEY 	7.029174	-7.481824
KIDNEY 	-1.9302975	-50.517757
KIDNEY 	-12.896182	12.602063
KIDNEY 	-1.4372833	12.934708
KIDNEY 	3.1113482	22.021105
KIDNEY 	37.86267	0.13957189
KIDNEY 	-4.002082	18.65258
CENTRAL_NERVOUS_SYSTEM	-32.58728	-8.858664
LARGE_INTESTINE	66.3757	-32.080242
LARGE_INTESTINE	61.09289	-42.61567
UPPER_AERODIGESTIVE_TRACT	26.105085	25.373077
UPPER_AERODIGESTIVE_TRACT	26.99746	23.758642
UPPER_AERODIGESTIVE_TRACT	30.696411	12.6832075
CENTRAL_NERVOUS_SYSTEM	-36.432087	-20.221783
LARGE_INTESTINE	35.898296	2.2052517
OVARY	13.277797	2.357357
UPPER_AERODIGESTIVE_TRACT	20.457756	22.129124
KIDNEY 	-4.1693625	21.243015
STOMACH 	78.73368	-31.706764
LARGE_INTESTINE	64.970406	-47.625576
STOMACH 	2.962327	-8.014363
CENTRAL_NERVOUS_SYSTEM	-37.237534	-20.911364
PANCREAS	32.72649	6.7718244
STOMACH 	37.954983	-17.137615
LARGE_INTESTINE	66.44434	-38.78521
PANCREAS	20.707972	-33.792
